,min,max,avg,mutate_num
0,24.0,48.0,39.43333333333333,0.0
1,22.0,39.0,25.5,88.0
2,23.0,44.0,26.666666666666668,96.0
3,28.0,49.0,31.663333333333334,88.0
4,23.0,44.0,26.64,94.0
5,23.0,44.0,26.653333333333332,217.0
6,23.0,44.0,26.606666666666666,248.0
7,23.0,66.0,27.79,304.0
8,28.0,115.0,32.083333333333336,137.0
9,28.0,98.0,32.68666666666667,103.0
10,23.0,66.0,28.07,101.0
11,28.0,98.0,36.11333333333334,87.0
12,23.0,133.0,33.093333333333334,89.0
13,23.0,133.0,48.69,116.0
14,24.0,133.0,52.68333333333333,111.0
15,21.0,133.0,56.763333333333335,103.0
16,27.0,133.0,78.46666666666667,106.0
17,24.0,133.0,59.67333333333333,303.0
18,24.0,149.0,76.29333333333334,335.0
19,27.0,133.0,62.29333333333334,154.0
20,23.0,115.0,89.72666666666667,153.0
21,28.0,115.0,98.69333333333333,123.0
22,35.0,116.0,103.95666666666666,118.0
23,28.0,115.0,99.38666666666667,109.0
24,30.0,122.0,109.75,134.0
25,29.0,148.0,79.15333333333334,222.0
26,27.0,256.0,105.78333333333333,115.0
27,30.0,256.0,99.80666666666667,88.0
28,30.0,256.0,112.55333333333333,90.0
29,27.0,116.0,106.84666666666666,82.0
30,27.0,257.0,122.21666666666667,85.0
31,27.0,257.0,128.44666666666666,105.0
32,27.0,257.0,164.56333333333333,105.0
33,27.0,257.0,199.02,103.0
34,27.0,117.0,106.99,116.0
35,27.0,257.0,185.71333333333334,127.0
